"","year","lrf.m","lrf.sd","lrf.l","lff.m","lff.sd","lff.l","lcf.m","lcf.sd","lcf.l","stdi.m","stdi.sd","stdi.l","smdi.m","smdi.sd","smdi.l","tsdi.m","tsdi.sd","tsdi.l"
"year75",75,71.3523873987883,2.85937957629787,50,7.29954225373493,0.258222128699509,50,3.06099204468545,0.860090328811938,50,-22.5768439223842,1.4606537374517,50,0.0440200063338466,0.154438570349435,50,-22.6152533691407,1.48292758577462,50
"year76",76,71.3434403999229,2.84407337854043,50,7.39364970739053,0.258040851525098,50,3.12247089696848,0.877185518151026,50,-21.9527914447529,1.17420569974738,50,0.0348260813078735,0.123863467680878,50,-21.9834281774679,1.19195958146353,50
"year77",77,71.4788177353514,2.83004447341914,50,7.49549908307936,0.258823230645576,50,3.18523748837913,0.894771961310213,50,-21.262672895369,0.920781203077789,50,0.0257891985385055,0.0944097338651846,50,-21.2855452637035,0.93488490272034,50
"year78",78,71.6929262791603,2.81598780455087,50,7.60494561445913,0.259649106360929,50,3.24943277909702,0.912857325756566,50,-20.4887434806604,0.738552966660555,50,0.0168925710505567,0.0667638190183107,50,-20.5038506318476,0.749810096110735,50
"year79",79,72.0876425219429,2.80171707498767,50,7.71704596793583,0.260674509616622,50,3.3147697497701,0.931391247538095,50,-19.7005220326782,0.627296577702391,50,0.0106089069908188,0.0424386469516378,50,-19.7100812644053,0.63542050307122,50
"year80",80,73.1721246996321,2.7844607482745,50,7.80636433970654,0.261776100351045,50,3.37973498104729,0.949746649146605,50,-19.1479307987832,0.574665828138318,50,0.00748382927400655,0.0299373613981503,50,-19.1547083758064,0.580666566612064,50
"year81",81,74.9270695824941,2.76695727116737,50,7.88687158842962,0.262804811236492,50,3.44469363172076,0.968014278338524,50,-18.6394283280879,0.543921252717927,50,0.00438439155705339,0.0175387153797075,50,-18.6434192931762,0.547542676017707,50
"year82",82,75.9546943549629,2.76092599638848,50,7.96251095513026,0.263962839397398,50,3.51002809058563,0.986318240501768,50,-18.047501347244,0.529253464280583,50,0.00130110453926193,0.0052047174444794,50,-18.0486920474157,0.530364195650309,50
"year83",83,76.8391095635577,2.76316663900504,50,8.03438678541244,0.265372465605106,50,3.57586050949105,1.00469403095225,50,-17.3898822996432,0.514054589993631,50,-0.00175131330304737,0.00700561148920249,50,-17.3882711268318,0.512479682624687,50
"year84",84,77.8765029628492,2.7686941503551,50,8.10283829815095,0.266895753272507,50,3.64221334539388,1.02318392466756,50,-16.7197757472114,0.497971032503426,50,-0.00476913549639107,0.0190777058721975,50,-16.7153653549149,0.493443938639598,50
